"PC1","PC2","group","organ","name"
-14.1499793623299,-29.4693423999147,"brain","brain","brain_ERR6664129"
-12.9836523461898,-27.0360765427084,"brain","brain","brain_ERR6664136"
-11.9197015097579,-30.8989238277059,"brain","brain","brain_ERR6664143"
-10.3969755832049,-29.6384059743599,"brain","brain","brain_ERR6664150"
-14.645859544671,-24.3367637261959,"brain","brain","brain_ERR6664157"
-14.5481081972272,-33.2115694704436,"brain","brain","brain_ERR6664164"
-6.63409912095325,-31.1909812260978,"brain","brain","brain_ERR6664171"
-8.29558001846071,-32.9939343287914,"brain","brain","brain_ERR6664178"
-15.4215358013021,-36.5765448540291,"brain","brain","brain_ERR6664185"
-15.2332054429725,-36.7080953736282,"brain","brain","brain_ERR6664192"
-10.695073831907,-28.7513968770953,"brain","brain","brain_ERR6664199"
-15.7057602149281,-36.6873621713643,"brain","brain","brain_ERR6664206"
5.60403899370841,-31.2257881070668,"d_intestine","d_intestine","d_intestine_ERR6664135"
3.45534117154141,-30.4176892229071,"d_intestine","d_intestine","d_intestine_ERR6664142"
12.3372090268508,-24.6065410246635,"d_intestine","d_intestine","d_intestine_ERR6664149"
2.56588202848322,-30.3066713655858,"d_intestine","d_intestine","d_intestine_ERR6664156"
-5.27862684524029,-34.2814972713307,"d_intestine","d_intestine","d_intestine_ERR6664163"
7.66988217405332,-27.7941355001396,"d_intestine","d_intestine","d_intestine_ERR6664170"
7.16046870880994,-26.544273568873,"d_intestine","d_intestine","d_intestine_ERR6664177"
4.65886415526255,-27.7206142147264,"d_intestine","d_intestine","d_intestine_ERR6664184"
-2.59913466497094,-31.2807969596577,"d_intestine","d_intestine","d_intestine_ERR6664191"
6.09288910722053,-26.9281860180291,"d_intestine","d_intestine","d_intestine_ERR6664198"
3.87968342901485,-29.5773665414986,"d_intestine","d_intestine","d_intestine_ERR6664205"
33.8065925782656,-11.2643584919718,"d_intestine","d_intestine","d_intestine_ERR6664212"
-25.8115336798914,-16.1842924727142,"gill","gill","gill_ERR6664130"
-22.4965418422728,-20.2546641856711,"gill","gill","gill_ERR6664137"
-18.8746515467294,-25.361900440704,"gill","gill","gill_ERR6664144"
-30.2491493247154,-7.14638692949278,"gill","gill","gill_ERR6664151"
-27.8715418425227,-12.3396754190411,"gill","gill","gill_ERR6664158"
-22.8043662100711,-17.2181766187586,"gill","gill","gill_ERR6664165"
-34.0492086305362,-0.4369568182888,"gill","gill","gill_ERR6664172"
-9.28157905163369,-41.8004948442726,"gill","gill","gill_ERR6664179"
-34.7076794668554,-3.67435347431328,"gill","gill","gill_ERR6664186"
-29.5023835666175,-10.0564922949787,"gill","gill","gill_ERR6664193"
-11.0118349165801,-40.4447718065558,"gill","gill","gill_ERR6664200"
-16.6813493878139,-33.3260450177637,"gill","gill","gill_ERR6664207"
-13.7208232603746,-30.4898428018758,"gonad","gonad","gonad_ERR6664131"
-13.9752677538071,-29.4576462837188,"gonad","gonad","gonad_ERR6664138"
-13.7953843956659,-29.8955045889861,"gonad","gonad","gonad_ERR6664145"
-9.92425397749476,-29.3489605346183,"gonad","gonad","gonad_ERR6664152"
-9.86213968221827,-24.4578746765528,"gonad","gonad","gonad_ERR6664159"
-9.58620298256353,-31.8626994784883,"gonad","gonad","gonad_ERR6664166"
-14.1820946283475,-30.9285045915583,"gonad","gonad","gonad_ERR6664173"
